,postcode,easting,northing,soilType,elevation,localAuthority,riskLabel,medianPrice,historicallyFlooded,postcodeDistrict,catsPerHousehold,dogsPerHousehold
0,OL9,390978,403269,Unsurveyed/Urban,130,Oldham,1,119100.0,False,OL9,0.151213211,0.17341449
1,WV13,396607,298083,Unsurveyed/Urban,130,Walsall,1,84200.0,False,WV13,0.15225894,0.174613754
2,LS12,427859,432937,Unsurveyed/Urban,60,Leeds,1,134900.0,False,LS12,0.436137812,0.500172012
3,SK15,395560,397900,Unsurveyed/Urban,120,Tameside,1,170200.0,False,SK15,0.093698784,0.107455736
4,TS17,445771,515362,Unsurveyed/Urban,20,Stockton-on-Tees,1,190600.0,False,TS17,0.440887556,0.505619118
5,LE6,434472,317426,Cambisols,140,North West Leicestershire,1,,False,LE6,0.155462889,0.17828811
6,DL7,436925,494915,Unsurveyed/Urban,40,Hambleton,1,,False,DL7,0.756660538,0.867754212
7,S63,444767,402434,Unsurveyed/Urban,30,Barnsley,1,49700.0,False,S63,0.334108712,0.383162895
8,NE29,433353,568651,Unsurveyed/Urban,60,North Tyneside,1,103700.0,False,NE29,0.347595785,0.398630154
9,NE4,423708,564774,Unsurveyed/Urban,80,Newcastle upon Tyne,1,1533000.0,False,NE4,0.274115284,0.314361171
10,B16,404832,286162,Unsurveyed/Urban,160,Birmingham,1,,False,B16,0.100592352,0.115361424
11,S31,447597,382987,Unsurveyed/Urban,110,Rotherham,1,,False,,,
12,NR17,604576,295189,Luvisols,40,Breckland,1,344100.0,False,NR17,0.582802276,0.668369903
13,HX1,408741,424042,Unsurveyed/Urban,170,Calderdale,1,160000.0,False,HX1,0.458088551,0.52534558
14,DE23,434930,334819,Unsurveyed/Urban,60,Derby,1,65900.0,False,DE23,0.2967441,0.340312372
15,DN15,484590,411631,Cambisols,0,North Lincolnshire,8,180700.0,True,DN15,0.743388205,0.852533222
16,B16,404697,286451,Unsurveyed/Urban,160,Birmingham,1,267900.0,False,B16,0.100592352,0.115361424
17,B42,405705,292933,Unsurveyed/Urban,130,Birmingham,1,199700.0,False,B42,0.134968266,0.154784444
18,PE14,549808,294942,Gleysols,0,Fenland,1,290800.0,False,PE14,0.301604099,0.345885922
19,LN11,532609,388048,Unsurveyed/Urban,40,East Lindsey,1,245500.0,False,LN11,0.644853472,0.739531519
20,DL14,419602,527202,Stagnosols,100,County Durham,1,142800.0,False,DL14,0.385999042,0.442671817
21,B11,408400,285700,Unsurveyed/Urban,120,Birmingham,1,225500.0,False,B11,0.107417123,0.123188215
22,S18,434331,378559,Unsurveyed/Urban,170,North East Derbyshire,1,,False,S18,0.529705348,0.607477229
23,DL1,429177,514182,Unsurveyed/Urban,40,Darlington,1,,False,DL1,0.196107916,0.224900681
24,DH2,427092,552190,Unsurveyed/Urban,50,County Durham,1,152300.0,False,DH2,0.502339423,0.576093411
25,BD1,416200,432900,Unsurveyed/Urban,100,Bradford,1,104700.0,False,BD1,0.110608772,0.126848465
26,YO19,460481,441720,Luvisols,20,Selby,1,873500.0,False,YO19,1.150512319,1.319431714
27,DL1,429356,514892,Unsurveyed/Urban,40,Darlington,8,164400.0,False,DL1,0.196107916,0.224900681
28,DH1,426528,541088,Stagnosols,90,County Durham,1,327700.0,False,DH1,0.38109464,0.437047345
29,BD9,414013,435227,Unsurveyed/Urban,200,Bradford,1,198600.0,False,BD9,0.239866813,0.275084304
30,S72,441337,409562,Unsurveyed/Urban,50,Barnsley,1,189800.0,False,S72,0.145118612,0.166425076
31,SK17,405912,373965,Unsurveyed/Urban,310,High Peak,1,,False,SK17,0.518071565,0.594135362
32,LE8,459968,299415,Unsurveyed/Urban,90,Oadby and Wigston,1,,False,LE8,0.348469912,0.399632621
33,PE2,516135,303110,Stagnosols,10,Peterborough,1,,False,PE2,0.269463336,0.309026219
34,B29,402948,282111,Unsurveyed/Urban,150,Birmingham,1,153100.0,False,B29,0.112884754,0.129458609
35,PE26,528050,289703,Gleysols,0,Fenland,8,150000.0,False,PE26,0.200796783,0.230277973
36,SK15,396371,398527,Unsurveyed/Urban,110,Tameside,1,,False,SK15,0.093698784,0.107455736
37,NG34,506920,345495,Unsurveyed/Urban,20,North Kesteven,1,194600.0,False,NG34,0.851781077,0.976840447
38,DL6,437262,492955,Unsurveyed/Urban,40,Hambleton,1,361400.0,False,DL6,1.159847887,1.330137941
39,B76,415782,291862,Unsurveyed/Urban,80,Birmingham,1,366700.0,False,B76,0.137929045,0.158179928
40,NE48,383472,582658,Gleysols,120,Northumberland,1,277200.0,False,NE48,0.299974136,0.344016646
41,DE1,435849,335969,Unsurveyed/Urban,50,Derby,1,233700.0,False,DE1,0.757814352,0.869077431
42,WS15,406659,313336,Luvisols,130,Lichfield,1,344200.0,False,WS15,0.532002984,0.610112206
43,LS14,434800,434600,Unsurveyed/Urban,70,Leeds,1,169400.0,False,LS14,0.092804704,0.106430386
44,S71,435843,407835,Unsurveyed/Urban,110,Barnsley,1,156500.0,False,S71,0.229536674,0.263237484
45,NE63,426544,587653,Unsurveyed/Urban,30,Northumberland,1,38700.0,False,NE63,0.531236788,0.609233517
46,DE7,442486,341326,Stagnosols,100,Erewash,1,270500.0,False,DE7,0.304139997,0.348794143
47,DE6,430595,330716,Planosols,60,South Derbyshire,1,,False,DE6,0.749624832,0.859685516
48,NE8,423919,561792,Unsurveyed/Urban,10,Gateshead,1,132900.0,False,NE8,0.192941594,0.221269476
49,B6,408042,291968,Unsurveyed/Urban,100,Birmingham,1,313800.0,False,B6,0.035382792,0.040577729
50,B32,400983,284898,Unsurveyed/Urban,200,Birmingham,1,259900.0,False,B32,0.135815188,0.155755713
51,NE65,406034,601825,Cambisols,80,Northumberland,6,228300.0,True,NE65,0.610399792,0.700019314
52,NG9,452230,337533,Unsurveyed/Urban,50,Broxtowe,1,462700.0,False,NG9,0.240909747,0.276280363
53,BD23,399902,463987,Cambisols,190,Craven,1,446000.0,False,BD23,0.772493362,0.885911628
54,HU7,510774,434392,Unsurveyed/Urban,0,"Kingston upon Hull, City of",6,123200.0,False,HU7,0.148483246,0.170283709
55,NE40,415086,564513,Unsurveyed/Urban,60,Gateshead,1,7653600.0,False,NE40,0.166052163,0.190432111
56,NE31,431770,564490,Unsurveyed/Urban,30,South Tyneside,1,124600.0,False,NE31,0.110155265,0.126328374
57,OL7,393455,398553,Unsurveyed/Urban,100,Tameside,1,124900.0,False,OL7,0.289290829,0.331764804
58,SK7,389081,384401,Unsurveyed/Urban,80,Stockport,1,561500.0,False,SK7,0.260258305,0.298469696
59,SK14,395500,394711,Unsurveyed/Urban,120,Tameside,1,104200.0,False,SK14,0.118349421,0.135725604
60,NR14,626140,302784,Arenosols,70,South Norfolk,1,454200.0,False,NR14,1.587804001,1.820927009
61,HG3,419394,461882,Stagnosols,130,Harrogate,1,451600.0,False,HG3,0.507925103,0.582499186
62,S5,436376,393300,Unsurveyed/Urban,80,Sheffield,1,101700.0,False,S5,0.108836939,0.12481649
63,PE1,519073,298672,Unsurveyed/Urban,10,Peterborough,1,2788900.0,False,PE1,0.523103533,0.599906129
64,PE13,547300,310502,Unsurveyed/Urban,0,Fenland,1,170800.0,False,PE13,0.173212725,0.198643995
65,S1,435500,387400,Unsurveyed/Urban,70,Sheffield,1,265200.0,False,S1,0.158389351,0.181644237
66,DN41,520287,411509,Stagnosols,10,North East Lincolnshire,1,150300.0,False,DN41,0.398195304,0.456658746
67,LN2,499307,372871,Unsurveyed/Urban,40,Lincoln,1,223500.0,False,LN2,0.264729034,0.303596822
68,OL8,391057,402824,Unsurveyed/Urban,120,Oldham,1,128700.0,False,OL8,0.108764732,0.124733682
69,B75,412400,299700,Unsurveyed/Urban,160,Birmingham,1,382100.0,False,B75,0.155197236,0.177983453
70,S30,422249,403178,Stagnosols,220,Barnsley,1,,False,,,
71,S60,442419,392940,Unsurveyed/Urban,30,Rotherham,1,383500.0,False,S60,0.080994751,0.092886483
72,SK8,383990,388379,Unsurveyed/Urban,40,Stockport,1,305200.0,False,SK8,0.572567206,0.656632109
73,NR6,623908,312884,Cambisols,30,Broadland,1,240200.0,False,NR6,0.261070003,0.299400568
74,WF15,417705,424001,Unsurveyed/Urban,150,Kirklees,1,221600.0,False,WF15,0.161282172,0.184961786
75,NR10,613553,323725,Cambisols,40,Broadland,1,368900.0,False,NR10,0.470583086,0.539674576
76,DN14,459681,422075,Arenosols,10,Selby,8,472600.0,False,DN14,0.412275423,0.472806123
77,DN21,481100,391200,Unsurveyed/Urban,10,West Lindsey,1,110000.0,True,DN21,0.120482323,0.13817166
78,S1,435267,386869,Unsurveyed/Urban,70,Sheffield,1,607600.0,False,S1,0.158389351,0.181644237
79,NG23,479334,366019,Cambisols,10,Newark and Sherwood,1,307700.0,False,NG23,0.690167651,0.791498772
80,DL6,445407,500445,Stagnosols,80,Hambleton,1,354300.0,False,DL6,1.159847887,1.330137941
81,B13,407502,281065,Unsurveyed/Urban,150,Birmingham,1,,False,B13,0.104947225,0.120355684
82,NG32,488475,336321,Stagnosols,100,South Kesteven,1,455900.0,False,NG32,0.498708259,0.571929116
83,BD15,411800,434200,Unsurveyed/Urban,230,Bradford,1,115400.0,False,BD15,0.19724113,0.226200274
84,LE4,460725,306998,Unsurveyed/Urban,50,Leicester,1,265000.0,False,LE4,0.084137103,0.096490198
85,NG2,457375,335116,Luvisols,50,Rushcliffe,1,323900.0,False,NG2,0.223160615,0.255925285
86,WV8,387968,303624,Unsurveyed/Urban,110,South Staffordshire,1,234800.0,False,WV8,0.394739919,0.452696038
87,NN16,499527,278634,Cambisols,30,North Northamptonshire,1,,False,NN16,0.432972025,0.496541421
88,LN10,517790,368923,Stagnosols,10,East Lindsey,1,44900.0,False,LN10,0.494376717,0.566961612
89,LE6,439070,310887,Cambisols,130,North West Leicestershire,1,,False,LE6,0.155462889,0.17828811
90,DE14,425089,324308,Unsurveyed/Urban,50,East Staffordshire,1,,True,DE14,0.553710676,0.635007043
91,BD17,414823,438180,Unsurveyed/Urban,70,Bradford,1,322400.0,False,BD17,0.420959603,0.482765322
92,NN16,499651,278146,Cambisols,50,North Northamptonshire,1,,False,NN16,0.432972025,0.496541421
93,ST15,390299,334231,Luvisols,100,Stafford,1,316500.0,False,ST15,1.106867028,1.269378377
94,DE14,423168,321276,Unsurveyed/Urban,50,East Staffordshire,6,219000.0,True,DE14,0.553710676,0.635007043
95,CW1,372850,356135,Unsurveyed/Urban,50,Cheshire East,1,218400.0,False,CW1,0.565202958,0.648186635
96,NG14,470765,349979,Gleysols,20,Newark and Sherwood,1,451400.0,False,NG14,0.99383523,1.139751135
97,NG6,454055,346771,Planosols,60,Nottingham,1,239200.0,False,NG6,0.09454725,0.108428774
98,PE36,567300,341100,Luvisols,20,King's Lynn and West Norfolk,1,472300.0,False,PE36,0.200133179,0.229516937
99,WS3,400494,302345,Unsurveyed/Urban,150,Walsall,1,194100.0,False,WS3,0.342337003,0.392599272
100,S80,458546,379064,Unsurveyed/Urban,40,Bassetlaw,1,,True,S80,0.335654769,0.384935946
101,LS14,434269,436974,Unsurveyed/Urban,80,Leeds,1,189700.0,False,LS14,0.092804704,0.106430386
102,S6,430810,387740,Cambisols,150,Sheffield,1,201100.0,False,S6,0.251842344,0.288818095
103,TS9,452380,508602,Stagnosols,70,Hambleton,1,269800.0,True,TS9,0.755046092,0.865902732
104,HD1,414300,416800,Unsurveyed/Urban,90,Kirklees,1,694400.0,False,HD1,0.291888215,0.334743542
105,SK10,389182,374331,Stagnosols,170,Cheshire East,1,270800.0,False,SK10,0.688929495,0.790078828
106,NR6,621664,312363,Unsurveyed/Urban,30,Broadland,1,234400.0,False,NR6,0.261070003,0.299400568
107,B77,423475,303712,Planosols,100,Tamworth,1,236900.0,False,B77,0.16855405,0.193301328
108,NR3,621300,310600,Unsurveyed/Urban,20,Norwich,1,246600.0,False,NR3,0.278059389,0.318884353
109,DE22,433536,341214,Arenosols,140,Amber Valley,1,552400.0,False,DE22,0.20458093,0.234617711
110,DN21,481549,390056,Unsurveyed/Urban,10,West Lindsey,1,96500.0,False,DN21,0.120482323,0.13817166
111,WS7,407198,310387,Cambisols,120,Lichfield,1,309900.0,False,WS7,0.455607493,0.522500252
112,LS25,441455,432917,Unsurveyed/Urban,70,Leeds,1,246400.0,False,LS25,0.370276615,0.424641007
113,TS6,454944,517623,Unsurveyed/Urban,60,Redcar and Cleveland,1,146000.0,False,TS6,0.028559895,0.032753088
114,PE21,532840,343900,Unsurveyed/Urban,0,Boston,1,144600.0,True,PE21,0.259149438,0.297198024
115,DE3,435217,334057,Unsurveyed/Urban,60,Derby,1,,False,DE3,0.6198295,0.710833501
116,NE38,430901,555848,Unsurveyed/Urban,50,Sunderland,1,86700.0,False,NE38,0.202842061,0.232623539
117,LS15,437001,435577,Unsurveyed/Urban,80,Leeds,1,241500.0,False,LS15,0.129209659,0.148180353
118,S8,435091,385099,Unsurveyed/Urban,70,Sheffield,1,235500.0,True,S8,0.274210417,0.31447027
119,NR18,610562,300967,Cambisols,40,South Norfolk,1,397500.0,False,NR18,0.321666321,0.368893699
120,NR2,621873,309420,Unsurveyed/Urban,10,Norwich,1,199800.0,False,NR2,0.233592153,0.267888392
121,ST10,401939,338551,Cambisols,130,Staffordshire Moorlands,1,290600.0,False,ST10,0.734316897,0.842130055
122,B13,407710,282176,Unsurveyed/Urban,160,Birmingham,1,269600.0,False,B13,0.104947225,0.120355684
123,BD19,420375,427432,Arenosols,150,Kirklees,1,365300.0,False,BD19,0.357080112,0.409506979
124,LS20,418004,441908,Unsurveyed/Urban,150,Leeds,1,406500.0,False,LS20,0.36916162,0.423362307
125,DL15,419416,535075,Unsurveyed/Urban,100,County Durham,1,175000.0,False,DL15,0.213685498,0.245059022
126,M34,392849,394626,Unsurveyed/Urban,100,Tameside,1,,False,M34,0.206154432,0.236422237
127,BD23,399811,451845,Stagnosols,120,Craven,5,185900.0,False,BD23,0.772493362,0.885911628
128,YO17,478688,471801,Leptosols,30,Ryedale,1,,False,YO17,0.52726071,0.604673667
129,YO8,461525,432471,Unsurveyed/Urban,10,Selby,1,,True,YO8,0.261033543,0.299358755
130,HD5,417540,415715,Unsurveyed/Urban,100,Kirklees,1,152900.0,False,HD5,0.152694405,0.175113153
131,IP12,641189,256001,Arenosols,0,East Suffolk,9,429400.0,False,IP12,0.525566514,0.602730728
132,DE5,439780,350493,Unsurveyed/Urban,150,Amber Valley,1,,False,DE5,0.627400263,0.719515811
133,SR2,438729,556665,Unsurveyed/Urban,40,Sunderland,1,165200.0,False,SR2,0.056759354,0.06509282
134,B26,414175,284962,Unsurveyed/Urban,110,Birmingham,1,202300.0,False,B26,0.143429092,0.164487498
135,IP17,638251,261610,Arenosols,20,East Suffolk,1,327600.0,False,IP17,0.507541191,0.582058908
136,SR1,439300,556700,Unsurveyed/Urban,30,Sunderland,1,676900.0,False,SR1,0.094420752,0.108283703
137,DE24,434637,332327,Unsurveyed/Urban,50,Derby,1,143000.0,False,DE24,0.285088807,0.326945837
138,S61,441912,395411,Unsurveyed/Urban,40,Rotherham,1,148400.0,False,S61,0.089856867,0.103049745
139,SK14,394739,395626,Unsurveyed/Urban,110,Tameside,1,169500.0,False,SK14,0.118349421,0.135725604
140,WS8,404954,305140,Unsurveyed/Urban,150,Walsall,1,175200.0,False,WS8,0.511303089,0.586373132
141,DL7,436485,493505,Unsurveyed/Urban,40,Hambleton,1,229800.0,False,DL7,0.756660538,0.867754212
142,DN20,496436,409432,Arenosols,30,North Lincolnshire,1,212100.0,False,DN20,0.389996069,0.447255691
143,LN11,532774,387513,Unsurveyed/Urban,30,East Lindsey,1,238400.0,True,LN11,0.644853472,0.739531519
144,LE19,452962,299632,Stagnosols,100,Blaby,1,714400.0,False,LE19,0.304434252,0.349131601
145,LS23,440524,448408,Unsurveyed/Urban,30,Leeds,1,418600.0,False,LS23,0.660481892,0.757454519
146,HD1,413510,417199,Unsurveyed/Urban,140,Kirklees,1,79900.0,False,HD1,0.291888215,0.334743542
147,PE30,562096,320460,Unsurveyed/Urban,0,King's Lynn and West Norfolk,1,,True,PE30,0.528122208,0.605661651
148,S80,452864,376215,Unsurveyed/Urban,110,Bolsover,1,126500.0,False,S80,0.335654769,0.384935946
149,B77,423500,302205,Planosols,80,Tamworth,1,247600.0,False,B77,0.16855405,0.193301328
150,NN16,486533,278774,Unsurveyed/Urban,80,North Northamptonshire,1,,False,NN16,0.432972025,0.496541421
151,DE23,434402,332717,Unsurveyed/Urban,60,Derby,1,140700.0,False,DE23,0.2967441,0.340312372
152,PE32,581700,315200,Leptosols,40,King's Lynn and West Norfolk,1,334200.0,False,PE32,0.409537719,0.469666466
153,NE61,425563,590758,Stagnosols,20,Northumberland,1,306700.0,False,NE61,0.373461252,0.428293215
154,PE12,524496,318957,Gleysols,0,South Holland,8,255300.0,False,PE12,0.218685971,0.250793669
155,DH3,427623,556891,Cambisols,80,Gateshead,1,146000.0,False,DH3,0.50040101,0.573870398
156,YO5,446475,452241,Luvisols,20,Harrogate,1,,False,,,
157,IP21,621542,284253,Cambisols,30,South Norfolk,1,735300.0,False,IP21,1.030031601,1.181261895
158,WF7,442832,421232,Unsurveyed/Urban,60,Wakefield,1,91600.0,False,WF7,0.306603429,0.351619258
159,HX1,409212,425256,Unsurveyed/Urban,150,Calderdale,1,174400.0,False,HX1,0.458088551,0.52534558
160,DL8,416819,493892,Cambisols,200,Richmondshire,1,284300.0,False,DL8,1.856077621,2.128588836
161,IP19,633429,272573,Cambisols,30,East Suffolk,1,232100.0,False,IP19,0.587393778,0.673635533
162,LS6,430522,435082,Unsurveyed/Urban,40,Leeds,1,,False,LS6,0.323135118,0.370578147
163,DE23,432308,332948,Luvisols,60,Derby,1,247700.0,False,DE23,0.2967441,0.340312372
164,NE23,427062,576580,Unsurveyed/Urban,70,Northumberland,1,228500.0,False,NE23,0.668956996,0.767173947
165,HU17,502230,440570,Unsurveyed/Urban,20,East Riding of Yorkshire,1,355400.0,False,HU17,0.39812983,0.456583659
166,NG17,449651,356679,Unsurveyed/Urban,160,Ashfield,1,164000.0,False,NG17,0.162373233,0.186213037
167,CA6,368379,551054,Stagnosols,250,Northumberland,1,,False,CA6,2.002030971,2.295971207
168,LS26,439221,432401,Unsurveyed/Urban,50,Leeds,1,,False,LS26,0.300612041,0.344748209
169,NR28,630818,334404,Cambisols,40,North Norfolk,1,340900.0,False,NR28,0.312874386,0.358810923
170,NE2,425802,566269,Unsurveyed/Urban,50,Newcastle upon Tyne,1,392700.0,False,NE2,0.427570449,0.49034678
171,SK4,389357,390095,Unsurveyed/Urban,60,Stockport,1,,False,SK4,0.245743904,0.281824275
172,DN6,452981,408257,Unsurveyed/Urban,40,Doncaster,1,137300.0,False,DN6,0.311672537,0.357432618
173,SK11,394467,371713,Stagnosols,190,Cheshire East,6,464800.0,False,SK11,0.466216928,0.534667374
174,NG34,513003,337503,Cambisols,10,North Kesteven,8,269700.0,False,NG34,0.851781077,0.976840447
175,DE4,429917,360272,Unsurveyed/Urban,100,Derbyshire Dales,1,,True,DE4,0.833920838,0.956357949
176,NG9,449004,338583,Unsurveyed/Urban,50,Broxtowe,1,177300.0,False,NG9,0.240909747,0.276280363
177,DE2,437900,332500,Unsurveyed/Urban,50,Derby,1,,False,,,
178,YO2,456043,454880,Luvisols,10,York,1,,False,,,
179,HG2,430422,453192,Unsurveyed/Urban,140,Harrogate,1,590500.0,False,HG2,0.332153316,0.380920406
180,DL5,427122,524496,Unsurveyed/Urban,90,County Durham,1,90800.0,False,DL5,0.269849329,0.309468884
181,SK12,391049,383774,Unsurveyed/Urban,90,Cheshire East,1,388600.0,False,SK12,0.71712137,0.822409863
182,WS7,406269,308956,Unsurveyed/Urban,140,Lichfield,1,246200.0,False,WS7,0.455607493,0.522500252
183,OL4,395737,405164,Unsurveyed/Urban,210,Oldham,1,258900.0,False,OL4,0.137693536,0.157909841
184,NR30,652500,307194,Unsurveyed/Urban,0,Great Yarmouth,1,152100.0,True,NR30,0.273098639,0.313195261
185,HG3,431404,456372,Unsurveyed/Urban,100,Harrogate,1,759100.0,False,HG3,0.507925103,0.582499186
186,HG1,431404,456372,Unsurveyed/Urban,100,Harrogate,1,,False,HG1,0.385898461,0.442556467
187,TS18,442228,517662,Unsurveyed/Urban,20,Stockton-on-Tees,1,150400.0,False,TS18,0.226858988,0.260166656
188,HU4,504890,428205,Unsurveyed/Urban,10,"Kingston upon Hull, City of",8,105900.0,False,HU4,0.194293741,0.222820147
189,NR11,614248,334709,Cambisols,50,North Norfolk,1,320100.0,False,NR11,0.343864224,0.394350721
190,DE14,424299,322955,Unsurveyed/Urban,50,East Staffordshire,6,179700.0,True,DE14,0.553710676,0.635007043
191,YO12,502109,489433,Unsurveyed/Urban,50,Scarborough,1,191500.0,False,YO12,0.283344475,0.324945401
192,NR6,623731,311919,Unsurveyed/Urban,30,Broadland,1,225200.0,False,NR6,0.261070003,0.299400568
193,S36,427694,398091,Unsurveyed/Urban,200,Sheffield,1,106900.0,False,S36,0.68165772,0.781739404
194,SK10,392003,376053,Cambisols,150,Cheshire East,1,372300.0,False,SK10,0.688929495,0.790078828
195,NR21,592426,329643,Luvisols,40,North Norfolk,1,169600.0,False,NR21,0.928226673,1.064509863
196,NE9,426556,558435,Unsurveyed/Urban,100,Gateshead,1,88600.0,False,NE9,0.437253144,0.501451098
197,NG14,465910,344479,Cambisols,20,Newark and Sherwood,2,348200.0,False,NG14,0.99383523,1.139751135
198,NG7,455825,337922,Unsurveyed/Urban,30,Nottingham,1,1103400.0,True,NG7,0.340459308,0.390445892
199,HD9,414136,408205,Unsurveyed/Urban,150,Kirklees,1,,False,HD9,0.251482511,0.28840543
200,CW11,375900,360900,Unsurveyed/Urban,70,Cheshire East,1,,False,CW11,0.456605955,0.523645308
201,NN15,489647,274378,Cambisols,70,North Northamptonshire,1,238900.0,False,NN15,0.270027817,0.309673577
202,DH4,432043,546319,Stagnosols,90,County Durham,1,155300.0,False,DH4,0.223065999,0.255816777
203,TS19,442590,521189,Unsurveyed/Urban,30,Stockton-on-Tees,1,60300.0,False,TS19,0.159383245,0.182784056
204,SK22,401045,390384,Gleysols,330,High Peak,1,378800.0,False,SK22,0.578323229,0.663233237
205,LS18,423546,438083,Unsurveyed/Urban,130,Leeds,1,249600.0,False,LS18,0.59260842,0.679615795
206,NE34,435365,564315,Unsurveyed/Urban,20,South Tyneside,1,342900.0,False,NE34,0.170903814,0.195996087
207,CW11,379001,362822,Gleysols,70,Cheshire East,1,,False,CW11,0.456605955,0.523645308
208,DE4,425143,372221,Cambisols,110,Derbyshire Dales,1,,True,DE4,0.833920838,0.956357949
209,TS18,444264,518658,Unsurveyed/Urban,10,Stockton-on-Tees,1,99700.0,False,TS18,0.226858988,0.260166656
210,NG3,457506,341085,Unsurveyed/Urban,60,Nottingham,1,212200.0,False,NG3,0.284549813,0.326327708
211,S36,425633,398741,Unsurveyed/Urban,200,Sheffield,1,143500.0,False,S36,0.68165772,0.781739404
212,B16,404836,286159,Unsurveyed/Urban,160,Birmingham,1,,False,B16,0.100592352,0.115361424
213,LN8,516797,381283,Stagnosols,50,East Lindsey,1,173400.0,False,LN8,0.755096217,0.865960216
214,HU3,506992,428070,Unsurveyed/Urban,10,"Kingston upon Hull, City of",6,100800.0,False,HU3,0.463801938,0.531897813
215,HG4,421868,480266,Cambisols,90,Harrogate,1,450500.0,False,HG4,1.143413633,1.311290793
216,LN2,500348,390443,Gleysols,20,West Lindsey,1,282500.0,False,LN2,0.264729034,0.303596822
217,WF4,431228,416851,Stagnosols,40,Wakefield,1,178200.0,False,WF4,0.172894719,0.198279299
218,IP11,629724,234231,Unsurveyed/Urban,10,East Suffolk,1,334600.0,False,IP11,0.347039663,0.397992381
219,HU3,507600,427400,Unsurveyed/Urban,10,"Kingston upon Hull, City of",1,179400.0,False,HU3,0.463801938,0.531897813
220,PE25,555182,364193,Gleysols,0,East Lindsey,6,146100.0,False,PE25,0.056942828,0.065303233
221,NR11,628437,330187,Unsurveyed/Urban,30,North Norfolk,1,320000.0,False,NR11,0.343864224,0.394350721
222,OL3,399928,405735,Unsurveyed/Urban,180,Oldham,1,296000.0,False,OL3,0.228661115,0.262233373
223,S64,444600,401062,Unsurveyed/Urban,20,Rotherham,1,78000.0,False,S64,0.096328211,0.110471217
224,S5,436995,391355,Unsurveyed/Urban,110,Sheffield,1,121400.0,False,S5,0.108836939,0.12481649
